 Iteration          f(x)      Gradient          Step       Eff. LR            LR 
         1    2708.79778   17585.70160       0.65955       0.05000       0.05000 
         2    2166.38538   14970.65001       0.47425       0.03712       0.05000 
         3    1280.30042   13228.94496       0.35110       0.03180       0.05000 
         4     924.11185   12145.75375       0.23606       0.02886       0.05000 
         5     711.32037    7643.41504       0.19413       0.02703       0.05000 
         6     761.11386    8533.01620       0.15604       0.02581       0.05000 
         7     542.10189    6310.24932       0.14734       0.02498       0.05000 
         8     350.44646    5801.56453       0.14208       0.02440       0.05000 
         9     226.10285    4089.63687       0.12596       0.02400       0.05000 
        10     341.81668    4684.73478       0.08810       0.02374       0.05000 
        11     443.37454    5785.05920       0.08382       0.02357       0.05000 
        12     313.00394    3924.95509       0.09304       0.02349       0.05000 
        13     235.18642    3724.96737       0.08822       0.02346       0.05000 
        14     209.81893    3676.96465       0.08355       0.02349       0.05000 
        15     186.89598    3309.72771       0.07717       0.02355       0.05000 
        16     167.46115    3548.68869       0.07437       0.02365       0.05000 
        17     118.91750    2420.48850       0.07140       0.02378       0.05000 
        18     119.84037    2612.25901       0.06176       0.02393       0.05000 
        19     136.14921    2948.62485       0.05619       0.02410       0.05000 
        20     129.50483    2298.13411       0.05024       0.02429       0.05000 
        21     129.42051    2605.21212       0.04789       0.02449       0.05000 
        22     100.25432    2257.53493       0.05382       0.02470       0.05000 
        23      70.96033    1557.69340       0.05203       0.02492       0.05000 
        24      77.55472    2082.88209       0.04653       0.02515       0.05000 
        25      78.54903    1783.68531       0.04389       0.02539       0.05000 
        26      81.47145    1952.49661       0.03947       0.02563       0.05000 
        27      76.55916    1866.81705       0.03826       0.02588       0.05000 
        28      66.66716    1367.66593       0.03572       0.02613       0.05000 
        29      66.70075    1754.02644       0.03634       0.02638       0.05000 
        30      55.25971    1297.42008       0.03708       0.02664       0.05000 
        31      52.25250    1360.99392       0.03388       0.02690       0.05000 
        32      48.78896    1432.30627       0.03498       0.02715       0.05000 
        33      39.37914    1045.11092       0.03300       0.02741       0.05000 
        34      39.89043    1234.83027       0.02837       0.02767       0.05000 
        35      41.14900    1036.32576       0.02473       0.02793       0.05000 
        36      44.99440    1263.99903       0.02283       0.02818       0.05000 
        37      40.81741    1048.04604       0.02516       0.02844       0.05000 
        38      37.06428     843.02153       0.02287       0.02869       0.05000 
        39      37.55437    1113.04064       0.02350       0.02895       0.05000 
