 Iteration          f(x)      Gradient          Step       Eff. LR            LR 
         1     705.02939    1419.86134       0.28284       0.05000       0.05000 
         2     429.96132    1140.05169       0.34468       0.03712       0.05000 
         3     196.73823     643.08438       0.26569       0.03180       0.05000 
         4     106.42247     403.17722       0.22727       0.02886       0.05000 
         5      61.10906     278.49059       0.20530       0.02703       0.05000 
         6      40.18647     174.26830       0.18261       0.02581       0.05000 
         7      45.68338     293.86746       0.14820       0.02498       0.05000 
         8      60.24190     415.32945       0.12145       0.02440       0.05000 
         9      64.49249     425.32887       0.10679       0.02400       0.05000 
        10      58.80404     357.35867       0.10004       0.02374       0.05000 
        11      50.25499     254.41216       0.09615       0.02357       0.05000 
        12      44.76237     174.01011       0.09001       0.02349       0.05000 
        13      43.69953     173.94249       0.08081       0.02346       0.05000 
        14      44.01000     208.41828       0.07369       0.02349       0.05000 
        15      42.02387     217.38311       0.07237       0.02355       0.05000 
        16      36.98005     190.41255       0.07451       0.02365       0.05000 
        17      30.86892     138.89352       0.07596       0.02378       0.05000 
        18      26.25989      90.02104       0.07413       0.02393       0.05000 
        19      24.38886      91.38451       0.06875       0.02410       0.05000 
        20      24.48860     128.57427       0.06184       0.02429       0.05000 
        21      24.64084     153.92271       0.05659       0.02449       0.05000 
        22      23.43325     152.04757       0.05453       0.02470       0.05000 
        23      20.95554     123.97523       0.05423       0.02492       0.05000 
        24      18.43208      80.73206       0.05303       0.02515       0.05000 
        25      17.11366      47.98091       0.04914       0.02539       0.05000 
        26      17.40271      62.52588       0.04233       0.02563       0.05000 
        27      18.73619      91.19767       0.03397       0.02588       0.05000 
        28      20.12226     107.81383       0.02668       0.02613       0.05000 
        29      20.80149     109.09040       0.02359       0.02638       0.05000 
        30      20.57849      98.68036       0.02532       0.02664       0.05000 
        31      19.74195      83.14986       0.02885       0.02690       0.05000 
        32      18.75651      68.37938       0.03149       0.02715       0.05000 
        33      17.99465      56.60070       0.03216       0.02741       0.05000 
        34      17.64417      49.38719       0.03063       0.02767       0.05000 
        35      17.69391      51.26890       0.02736       0.02793       0.05000 
        36      17.91559      60.27805       0.02389       0.02818       0.05000 
        37      17.95732      66.33483       0.02250       0.02844       0.05000 
        38      17.60429      62.45065       0.02371       0.02869       0.05000 
        39      16.97390      48.89537       0.02539       0.02895       0.05000 
        40      16.40399      34.42696       0.02547       0.02920       0.05000 
        41      16.13739      34.56720       0.02343       0.02945       0.05000 
        42      16.12851      45.13187       0.02015       0.02970       0.05000 
        43      16.14221      51.02541       0.01738       0.02994       0.05000 
        44      16.00316      47.41594       0.01631       0.03018       0.05000 
        45      15.73693      35.81135       0.01633       0.03042       0.05000 
        46      15.50215      22.00967       0.01606       0.03066       0.05000 
        47      15.42601      18.10885       0.01486       0.03090       0.05000 
        48      15.50750      26.19938       0.01298       0.03113       0.05000 
        49      15.64785      33.48023       0.01120       0.03136       0.05000 
        50      15.74251      36.15602       0.01019       0.03159       0.05000 
        51      15.74437      34.59410       0.01009       0.03181       0.05000 
        52      15.66940      30.34136       0.01046       0.03203       0.05000 
        53      15.56824      25.60215       0.01073       0.03225       0.05000 
        54      15.48818      23.08129       0.01057       0.03247       0.05000 
        55      15.44144      23.70901       0.01008       0.03268       0.05000 
        56      15.40123      24.82899       0.00975       0.03289       0.05000 
        57      15.33388      23.38269       0.00995       0.03310       0.05000 
        58      15.23857      18.56139       0.01040       0.03331       0.05000 
        59      15.15139      12.97081       0.01055       0.03351       0.05000 
        60      15.10646      13.34406       0.01017       0.03371       0.05000 
        61      15.09624      18.74243       0.00966       0.03390       0.05000 
        62      15.07733      22.23996       0.00961       0.03410       0.05000 
        63      15.01694      21.22939       0.01007       0.03429       0.05000 
        64      14.92730      16.14282       0.01047       0.03448       0.05000 
        65      14.84975       9.96127       0.01033       0.03467       0.05000 
        66      14.81038       8.95904       0.00970       0.03485       0.05000 
        67      14.79820      12.75797       0.00904       0.03503       0.05000 
        68      14.78376      15.21556       0.00875       0.03521       0.05000 
        69      14.75034      14.84302       0.00875       0.03539       0.05000 
        70      14.70484      12.23263       0.00869       0.03556       0.05000 
        71      14.66469       9.08625       0.00833       0.03573       0.05000 
        72      14.63943       8.16663       0.00778       0.03590       0.05000 
        73      14.62271       9.98026       0.00744       0.03607       0.05000 
        74      14.59890      11.49004       0.00764       0.03623       0.05000 
        75      14.55855      10.77972       0.00821       0.03639       0.05000 
        76      14.50867       7.84989       0.00865       0.03655       0.05000 
        77      14.46606       5.24206       0.00860       0.03671       0.05000 
        78      14.43921       7.03963       0.00812       0.03687       0.05000 
        79      14.41995       9.73052       0.00758       0.03702       0.05000 
        80      14.39475      10.31053       0.00728       0.03717       0.05000 
        81      14.36047       8.74936       0.00720       0.03732       0.05000 
        82      14.32472       6.78549       0.00712       0.03747       0.05000 
        83      14.29373       6.56997       0.00703       0.03761       0.05000 
        84      14.26559       7.37274       0.00704       0.03776       0.05000 
        85      14.23564       7.40839       0.00717       0.03790       0.05000 
        86      14.20335       6.50581       0.00731       0.03804       0.05000 
        87      14.17183       5.58393       0.00734       0.03818       0.05000 
        88      14.14314       5.55446       0.00730       0.03831       0.05000 
        89      14.11613       6.16265       0.00725       0.03845       0.05000 
        90      14.08808       6.56170       0.00726       0.03858       0.05000 
        91      14.05776       6.32937       0.00730       0.03871       0.05000 
        92      14.02668       5.69710       0.00729       0.03884       0.05000 
        93      13.99729       5.41022       0.00721       0.03897       0.05000 
        94      13.96985       5.74321       0.00710       0.03909       0.05000 
        95      13.94219       5.95880       0.00707       0.03922       0.05000 
        96      13.91307       5.49822       0.00710       0.03934       0.05000 
        97      13.88414       4.72828       0.00711       0.03946       0.05000 
        98      13.85743       4.54171       0.00708       0.03958       0.05000 
        99      13.83213       4.89846       0.00710       0.03970       0.05000 
       100      13.80578       4.97821       0.00720       0.03981       0.05000 
       101      13.77775       4.62891       0.00734       0.03993       0.05000 
       102      13.74965       4.40413       0.00742       0.04004       0.05000 
       103      13.72267       4.60133       0.00743       0.04015       0.05000 
       104      13.69623       4.80663       0.00743       0.04026       0.05000 
       105      13.66942       4.70353       0.00745       0.04037       0.05000 
       106      13.64237       4.45120       0.00748       0.04048       0.05000 
       107      13.61571       4.36223       0.00748       0.04058       0.05000 
       108      13.58951       4.45661       0.00749       0.04069       0.05000 
       109      13.56322       4.47623       0.00751       0.04079       0.05000 
       110      13.53657       4.27149       0.00755       0.04090       0.05000 
       111      13.50997       4.00662       0.00761       0.04100       0.05000 
       112      13.48392       3.95640       0.00768       0.04110       0.05000 
       113      13.45820       4.05546       0.00775       0.04119       0.05000 
       114      13.43227       4.01651       0.00783       0.04129       0.05000 
       115      13.40615       3.84937       0.00789       0.04139       0.05000 
       116      13.38033       3.84121       0.00791       0.04148       0.05000 
       117      13.35486       4.00290       0.00791       0.04158       0.05000 
       118      13.32924       4.02632       0.00793       0.04167       0.05000 
       119      13.30332       3.82139       0.00798       0.04176       0.05000 
       120      13.27749       3.62518       0.00804       0.04185       0.05000 
       121      13.25200       3.60996       0.00811       0.04194       0.05000 
       122      13.22665       3.65570       0.00818       0.04203       0.05000 
       123      13.20120       3.63544       0.00826       0.04212       0.05000 
       124      13.17570       3.58448       0.00832       0.04220       0.05000 
       125      13.15030       3.56524       0.00838       0.04229       0.05000 
       126      13.12496       3.55898       0.00844       0.04237       0.05000 
       127      13.09959       3.52220       0.00850       0.04245       0.05000 
       128      13.07417       3.47231       0.00856       0.04254       0.05000 
       129      13.04878       3.46681       0.00862       0.04262       0.05000 
       130      13.02342       3.49541       0.00867       0.04270       0.05000 
       131      12.99799       3.47652       0.00874       0.04278       0.05000 
       132      12.97248       3.39111       0.00882       0.04286       0.05000 
       133      12.94695       3.31228       0.00892       0.04293       0.05000 
       134      12.92136       3.27844       0.00903       0.04301       0.05000 
       135      12.89561       3.26195       0.00914       0.04308       0.05000 
       136      12.86974       3.26708       0.00923       0.04316       0.05000 
       137      12.84381       3.30943       0.00930       0.04323       0.05000 
       138      12.81780       3.33872       0.00937       0.04331       0.05000 
       139      12.79161       3.30607       0.00945       0.04338       0.05000 
       140      12.76525       3.24346       0.00955       0.04345       0.05000 
       141      12.73874       3.20675       0.00965       0.04352       0.05000 
       142      12.71206       3.19925       0.00977       0.04359       0.05000 
       143      12.68514       3.19749       0.00988       0.04366       0.05000 
       144      12.65798       3.19726       0.00999       0.04373       0.05000 
       145      12.63060       3.20128       0.01011       0.04379       0.05000 
       146      12.60297       3.20085       0.01022       0.04386       0.05000 
       147      12.57504       3.19617       0.01033       0.04393       0.05000 
